"page_url","page_type","page_intent","content_type","industry","page_topic","industry_normalized","page_topic_normalized","entities"
"https://www.nerdwallet.com/best/banking/high-yield-online-savings-accounts","Editorial","Informational","Listicle","Finance","High-Yield Savings Accounts","Finance","high_yield_savings_accounts","NerdWallet,SoFi Checking and Savings,American Express® High Yield Savings Account,CIT Bank Platinum Savings,Openbank High Yield Savings,Barclays Tiered Savings Account,Capital One 360 Performance Savings™,Axos ONE® Savings,Forbright Bank Growth Savings,UFB Portfolio Savings,Discover® Online Savings,Marcus by Goldman Sachs Online Savings Account,APY,FDIC,Margarette Burnette,Tony Armstrong"
"https://www.nerdwallet.com/article/finance/how-to-make-money","Editorial","Informational","Blog post","Finance","Ways to Make Money","Finance","ways_to_make_money","NerdWallet,Tommy Tindall,Courtney Neidel,Amanda Barroso,Upwork,Fiverr,Freelancer.com,UserTesting.com,Swagbucks,Survey Junkie,Etsy,Amazon,Kindle Direct Publishing,YouTube,Google AdSense,Instagram,Twitch,Fine Art America,SmugMug,500px,PhotoShelter,Rover,Wag,CardCash,GiftCash,Airbnb,ThredUp,Poshmark,Swappa,Gazelle,Facebook Marketplace,Care.com,Sittercity,Getaround,Turo,TaskRabbit,Tutor.com,Lyft,Uber,Instacart,Uber Eats,Postmates,DoorDash,Amazon Flex,HouseSitter.com,IntelliShop,BestMark,Sinclair Customer Metrics"
"https://www.nerdwallet.com/mortgages/mortgage-calculator","Editorial","Informational","Calculator","Finance","Mortgage Calculator","Finance","mortgage_calculator","NerdWallet,mortgage,interest rate,loan term,property taxes,homeowners insurance,HOA fees,private mortgage insurance,amortization,loan estimate,monthly payment,principal,interest,home price,down payment,loan servicer,escrow account"
"https://www.nerdwallet.com/article/finance/how-to-get-coupons","Editorial","Informational","Blog post","Finance","Coupons and Discount Codes","Finance","coupons_and_discount_codes","NerdWallet,Lauren Schwahn,Pamela de la Fuente,Cindy Livesey,Aldi,Amazon,Subscribe and Save"
"https://www.nerdwallet.com/calculator/auto-loan-calculator","Editorial","Informational","Calculator","Finance","Auto Loans","Finance","auto_loans","NerdWallet,auto loan,car loan,interest rate,loan term,monthly payment,credit score,down payment,trade-in value,sales tax,amortization,refinance,lease buyout,Experian,VantageScore"
"https://www.nerdwallet.com/article/taxes/federal-income-tax-brackets","Editorial","Informational","Article","Finance","Federal Income Tax Brackets","Finance","federal_income_tax_brackets","NerdWallet,Federal Income Tax,Tax Brackets,Tax Rates,Tax Cuts and Jobs Act,IRS,Tax Calculator,Sabrina Parys,Lei Han,Pamela de la Fuente,Tina Orem"
"https://www.nerdwallet.com/","Homepage","Informational","Webpage","Finance","Personal Finance and Financial Products","Finance","personal_finance_and_financial_products","Credit cards,Banking,Home,Loans,Insurance,Personal finance,Investing,Small business,Taxes,NerdWallet,NerdWallet+,NerdWallet app,NerdWallet Compare, Inc.,Evolve Bank & Trust,MasterCard International Inc.,Atomic Invest LLC,Atomic Brokerage LLC,FINRA,SIPC"
"https://www.nerdwallet.com/article/taxes/capital-gains-tax-rates","Editorial","Informational","Article","Finance","Capital Gains Tax","Finance","capital_gains_tax","Capital gains,Short-term capital gains,Long-term capital gains,Tax rates,Net investment income tax,Collectible assets,IRS,Tax brackets,Tax software,Tax-loss harvesting,Robo-advisors"
"https://www.nerdwallet.com/mortgages/mortgage-rates","Editorial","Informational","Webpage","Finance","Mortgage Rates","Finance","mortgage_rates","NerdWallet,mortgage,APR,interest rate,FHA,VA,Zillow,Federal Reserve,loan,credit score,down payment,home equity,refinance,ARM,fixed-rate mortgage,lender,home loan,real estate,investment,property"
"https://www.nerdwallet.com/article/loans/auto-loans/average-car-loan-interest-rates-by-credit-score","Editorial","Informational","Article","Finance","Auto Loans","Finance","auto_loans","NerdWallet,Shannon Bradley,Julie Myhre-Nunes,Experian,VantageScore,Federal Reserve,Edmunds.com,Cox Automotive,Dealertrack"
"https://www.nerdwallet.com/article/travel/google-flights-guide","Editorial","Informational","Guide","Finance","Google Flights","Finance","google_flights","Google Flights,NerdWallet,Carissa Rawson,Chris Burkhardt,SkyTeam,Star Alliance,Southwest Airlines,Delta SkyMiles,American Express,Alaska Airlines,United Airlines,Chase,Capital One,Citi,Travel,Credit Cards,Airline Miles,Points and Miles"
