"page_url","page_type_l1","page_type_l2","page_intent_l1","page_intent_l2","industry","page_topic","industry_normalized","page_topic_normalized","extracted_date"
"https://www.nerdwallet.com/best/banking/high-yield-online-savings-accounts","Editorial","Guide","Informational","Learn","Finance","High-Yield Savings Accounts","Finance","Banking",""
"https://www.nerdwallet.com/article/finance/how-to-make-money","Editorial","Guide","Informational","Learn","Finance","How to Make Money with a Side Gig","Finance","Personal Finance",""
"https://www.nerdwallet.com/mortgages/mortgage-calculator","Unknown","","Unknown","","","","","",""
"https://www.nerdwallet.com/article/finance/how-to-get-coupons","Editorial","Guide","Informational","Learn","Finance","How to Get Coupons","Finance","Personal Finance",""
"https://www.nerdwallet.com/calculator/auto-loan-calculator","Unknown","","Unknown","","","","","",""
"https://www.nerdwallet.com/article/taxes/federal-income-tax-brackets","Editorial","Guide","Informational","Learn","Finance","Federal Income Tax Brackets","Finance","Taxes",""
"https://www.nerdwallet.com/","Navigational","Homepage","Navigational","Find Location","Finance","Financial Product Comparisons","Finance","Financial Products",""
"https://www.nerdwallet.com/article/taxes/capital-gains-tax-rates","Editorial","Guide","Informational","Learn","Finance","Capital Gains Tax Rates","Finance","Taxes",""
"https://www.nerdwallet.com/mortgages/mortgage-rates","Commercial","Product Listing","Commercial","Evaluate","Finance","Mortgage Rates","Finance","Loans",""
"https://www.nerdwallet.com/article/loans/auto-loans/average-car-loan-interest-rates-by-credit-score","Editorial","Guide","Informational","Learn","Finance","Average Car Loan Interest Rates by Credit Score","Finance","Loans",""
